SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes
SKU0066,Frozen Product 385,Frozen,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH7209,06/04/2025,16/03/2025,23/03/2026,156,76,7,42,2,2,"15,63",472,"4,86",55,24,2,"$7,94","$7,96","$603,81","6,17","3,00","81,95%",FIFO,In Stock,0,08/07/2025,"2,04%","75,70%",
SKU0067,Dairy Product 109,Dairy,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH5526,14/06/2025,10/05/2025,29/06/2025,87,261,81,6,0,1,"36,03",1.386,"7,24",165,57,3,"$2,70","$2,87","$704,00","4,14","10,00","75,01%",FIFO,Expiring Soon,3,05/07/2025,"-3,5%","77,24%",
SKU0068,Fresh Product 369,Fresh Produce,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH8800,20/04/2025,10/03/2025,26/04/2025,142,271,97,65,2,2,"30,28",895,"8,95",233,82,5,"$1,44","$1,36","$391,19","3,35","14,00","95,61%",FEFO,Expiring Soon,-4,14/07/2025,"-9,27%","92,08%",
SKU0069,Fresh Product 114,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH7046,23/06/2025,24/05/2025,06/07/2025,78,130,26,29,3,1,"13,39",377,"9,71",27,14,1,"$0,75","$0,72","$97,88","3,09","3,00","98,71%",FEFO,Expiring Soon,0,17/07/2025,"-6,4%","78,24%",
SKU0070,Pantry Product 181,Pantry,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH4777,23/06/2025,16/06/2025,19/11/2027,78,12,12,0,1,0,"8,37",243,"1,43",16,8,1,"$8,83","$9,50","$105,93","20,92","6,00","88,23%",FIFO,Low Stock,0,31/07/2025,"-5,96%","92,99%",Temperature controlled
SKU0071,Personal Product 354,Personal Care,A,S003,PT Prima Distribusi,WHBDG,Bandung - Rancaekek,BATCH5530,16/07/2025,31/05/2025,02/04/2029,55,211,46,31,1,1,"14,69",393,"14,36",71,27,3,"$21,76","$22,73","$4.591,78","2,09","5,00","89,19%",FEFO,In Stock,-3,28/08/2025,"-3,03%","92,92%",
SKU0072,Meat Product 185,Meat,A,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH5494,06/09/2025,04/09/2025,15/09/2025,3,505,69,42,2,1,"37,18",1.246,"13,58",391,131,7,"$9,53","$8,87","$4.814,92","2,21","13,00","81,01%",FIFO,Expiring Soon,2,01/07/2025,"0,89%","74,77%",
SKU0073,Personal Product 327,Personal Care,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH5658,06/09/2025,07/08/2025,24/11/2029,3,45,8,2,2,1,"2,76",87,"16,30",20,12,3,"$5,91","$6,09","$266,11","1,84","4,00","98,19%",FEFO,In Stock,6,15/07/2025,"-0,42%","80,28%",
SKU0074,Personal Product 130,Personal Care,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH9056,24/08/2025,20/08/2025,21/11/2028,16,51,13,7,2,0,"5,70",175,"8,95",13,7,1,"$0,75","$0,72","$38,27","3,35","3,00","82,20%",FIFO,In Stock,1,21/08/2025,"-4,3%","71,83%",Temperature controlled
SKU0075,Personal Product 44,Personal Care,C,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4697,20/04/2025,02/03/2025,19/08/2028,142,32,13,17,0,2,"5,35",117,"5,98",16,11,1,"$3,31","$3,78","$105,94","5,02","5,00","76,26%",FEFO,In Stock,0,14/07/2025,"-0,33%","84,06%",
